Class; Value; Class start; Class end;
1;266750;0.999963104725;244.213647330878;
2;301684;244.213647330878;487.427331557032;
3;241738;487.427331557032;730.641015783185;
4;223788;730.641015783185;973.854700009339;
5;220766;973.854700009339;1217.068384235492;
6;219210;1217.068384235492;1460.282068461645;
7;205672;1460.282068461645;1703.495752687799;
8;200901;1703.495752687799;1946.709436913952;
9;192762;1946.709436913952;2189.923121140106;
10;176822;2189.923121140106;2433.136805366259;
11;167717;2433.136805366259;2676.350489592412;
12;169620;2676.350489592412;2919.564173818566;
13;171404;2919.564173818566;3162.777858044719;
14;160965;3162.777858044719;3405.991542270873;
15;152084;3405.991542270873;3649.205226497026;
16;148824;3649.205226497026;3892.418910723180;
17;141807;3892.418910723180;4135.632594949333;
18;138811;4135.632594949333;4378.846279175486;
19;131310;4378.846279175486;4622.059963401640;
20;122878;4622.059963401640;4865.273647627793;
21;114073;4865.273647627793;5108.487331853947;
22;109276;5108.487331853947;5351.701016080100;
23;106819;5351.701016080100;5594.914700306254;
24;103927;5594.914700306254;5838.128384532407;
25;100719;5838.128384532407;6081.342068758560;
26;95623;6081.342068758560;6324.555752984714;
27;92325;6324.555752984714;6567.769437210867;
28;89709;6567.769437210867;6810.983121437021;
29;88233;6810.983121437021;7054.196805663174;
30;86095;7054.196805663174;7297.410489889327;
31;83828;7297.410489889327;7540.624174115481;
32;81298;7540.624174115481;7783.837858341634;
33;80107;7783.837858341634;8027.051542567788;
34;80801;8027.051542567788;8270.265226793941;
35;79694;8270.265226793941;8513.478911020095;
36;76824;8513.478911020095;8756.692595246248;
37;72224;8756.692595246248;8999.906279472401;
38;69536;8999.906279472401;9243.119963698555;
39;68282;9243.119963698555;9486.333647924708;
40;67236;9486.333647924708;9729.547332150862;
41;67186;9729.547332150862;9972.761016377015;
42;65363;9972.761016377015;10215.974700603168;
43;65106;10215.974700603168;10459.188384829322;
44;65533;10459.188384829322;10702.402069055475;
45;65004;10702.402069055475;10945.615753281629;
46;64645;10945.615753281629;11188.829437507782;
47;64720;11188.829437507782;11432.043121733936;
48;63103;11432.043121733936;11675.256805960089;
49;61944;11675.256805960089;11918.470490186242;
50;59752;11918.470490186242;12161.684174412396;
51;58417;12161.684174412396;12404.897858638549;
52;57299;12404.897858638549;12648.111542864703;
53;56287;12648.111542864703;12891.325227090856;
54;56966;12891.325227090856;13134.538911317009;
55;56958;13134.538911317009;13377.752595543163;
56;55806;13377.752595543163;13620.966279769316;
57;54272;13620.966279769316;13864.179963995470;
58;53403;13864.179963995470;14107.393648221623;
59;54037;14107.393648221623;14350.607332447777;
60;51558;14350.607332447777;14593.821016673930;
61;51187;14593.821016673930;14837.034700900083;
62;50664;14837.034700900083;15080.248385126237;
63;50346;15080.248385126237;15323.462069352390;
64;48824;15323.462069352390;15566.675753578544;
65;49916;15566.675753578544;15809.889437804697;
66;49401;15809.889437804697;16053.103122030850;
67;47875;16053.103122030850;16296.316806257004;
68;47613;16296.316806257004;16539.530490483157;
69;46199;16539.530490483157;16782.744174709311;
70;44907;16782.744174709311;17025.957858935464;
71;43527;17025.957858935464;17269.171543161618;
72;43141;17269.171543161618;17512.385227387771;
73;42693;17512.385227387771;17755.598911613924;
74;41948;17755.598911613924;17998.812595840078;
75;41037;17998.812595840078;18242.026280066231;
76;40619;18242.026280066231;18485.239964292385;
77;40517;18485.239964292385;18728.453648518538;
78;40728;18728.453648518538;18971.667332744692;
79;40317;18971.667332744692;19214.881016970845;
80;40494;19214.881016970845;19458.094701196998;
81;40523;19458.094701196998;19701.308385423152;
82;40343;19701.308385423152;19944.522069649305;
83;40410;19944.522069649305;20187.735753875459;
84;40869;20187.735753875459;20430.949438101612;
85;41695;20430.949438101612;20674.163122327765;
86;41895;20674.163122327765;20917.376806553919;
87;42262;20917.376806553919;21160.590490780072;
88;43137;21160.590490780072;21403.804175006226;
89;43571;21403.804175006226;21647.017859232379;
90;43843;21647.017859232379;21890.231543458533;
91;43650;21890.231543458533;22133.445227684686;
92;43371;22133.445227684686;22376.658911910839;
93;43067;22376.658911910839;22619.872596136993;
94;43768;22619.872596136993;22863.086280363146;
95;43998;22863.086280363146;23106.299964589300;
96;43731;23106.299964589300;23349.513648815453;
97;42521;23349.513648815453;23592.727333041606;
98;41751;23592.727333041606;23835.941017267760;
99;42206;23835.941017267760;24079.154701493913;
100;42503;24079.154701493913;24322.368385720067;
101;42250;24322.368385720067;24565.582069946220;
102;42040;24565.582069946220;24808.795754172374;
103;42351;24808.795754172374;25052.009438398527;
104;42083;25052.009438398527;25295.223122624680;
105;42035;25295.223122624680;25538.436806850834;
106;42298;25538.436806850834;25781.650491076987;
107;41420;25781.650491076987;26024.864175303141;
108;41572;26024.864175303141;26268.077859529294;
109;40556;26268.077859529294;26511.291543755447;
110;40722;26511.291543755447;26754.505227981601;
111;41011;26754.505227981601;26997.718912207754;
112;40147;26997.718912207754;27240.932596433908;
113;39998;27240.932596433908;27484.146280660061;
114;38952;27484.146280660061;27727.359964886215;
115;39319;27727.359964886215;27970.573649112368;
116;39386;27970.573649112368;28213.787333338521;
117;39262;28213.787333338521;28457.001017564675;
118;37844;28457.001017564675;28700.214701790828;
119;38407;28700.214701790828;28943.428386016982;
120;37433;28943.428386016982;29186.642070243135;
121;36677;29186.642070243135;29429.855754469289;
122;37245;29429.855754469289;29673.069438695442;
123;36020;29673.069438695442;29916.283122921595;
124;35666;29916.283122921595;30159.496807147749;
125;34939;30159.496807147749;30402.710491373902;
126;35158;30402.710491373902;30645.924175600056;
127;34883;30645.924175600056;30889.137859826209;
128;34277;30889.137859826209;31132.351544052362;
129;34073;31132.351544052362;31375.565228278516;
130;33494;31375.565228278516;31618.778912504669;
131;32715;31618.778912504669;31861.992596730823;
132;32345;31861.992596730823;32105.206280956976;
133;32157;32105.206280956976;32348.419965183130;
134;30937;32348.419965183130;32591.633649409283;
135;29891;32591.633649409283;32834.847333635436;
136;28915;32834.847333635436;33078.061017861590;
137;28080;33078.061017861590;33321.274702087743;
138;26649;33321.274702087743;33564.488386313897;
139;25022;33564.488386313897;33807.702070540050;
140;24134;33807.702070540050;34050.915754766203;
141;23494;34050.915754766203;34294.129438992357;
142;23050;34294.129438992357;34537.343123218510;
143;22447;34537.343123218510;34780.556807444664;
144;22580;34780.556807444664;35023.770491670817;
145;22055;35023.770491670817;35266.984175896971;
146;21798;35266.984175896971;35510.197860123124;
147;21654;35510.197860123124;35753.411544349277;
148;21508;35753.411544349277;35996.625228575431;
149;21338;35996.625228575431;36239.838912801584;
150;21096;36239.838912801584;36483.052597027738;
151;20900;36483.052597027738;36726.266281253891;
152;20601;36726.266281253891;36969.479965480044;
153;20378;36969.479965480044;37212.693649706198;
154;20312;37212.693649706198;37455.907333932351;
155;20175;37455.907333932351;37699.121018158505;
156;20067;37699.121018158505;37942.334702384658;
157;20138;37942.334702384658;38185.548386610812;
158;19879;38185.548386610812;38428.762070836965;
159;19328;38428.762070836965;38671.975755063118;
160;18866;38671.975755063118;38915.189439289272;
161;18615;38915.189439289272;39158.403123515425;
162;18306;39158.403123515425;39401.616807741579;
163;17601;39401.616807741579;39644.830491967732;
164;17782;39644.830491967732;39888.044176193886;
165;17065;39888.044176193886;40131.257860420039;
166;16785;40131.257860420039;40374.471544646192;
167;16981;40374.471544646192;40617.685228872346;
168;16516;40617.685228872346;40860.898913098499;
169;16528;40860.898913098499;41104.112597324653;
170;16733;41104.112597324653;41347.326281550806;
171;16414;41347.326281550806;41590.539965776959;
172;16307;41590.539965776959;41833.753650003113;
173;15540;41833.753650003113;42076.967334229266;
174;15529;42076.967334229266;42320.181018455420;
175;15433;42320.181018455420;42563.394702681573;
176;15176;42563.394702681573;42806.608386907727;
177;14852;42806.608386907727;43049.822071133880;
178;14529;43049.822071133880;43293.035755360033;
179;13907;43293.035755360033;43536.249439586187;
180;13834;43536.249439586187;43779.463123812340;
181;13403;43779.463123812340;44022.676808038494;
182;13028;44022.676808038494;44265.890492264647;
183;12687;44265.890492264647;44509.104176490800;
184;12188;44509.104176490800;44752.317860716954;
185;11829;44752.317860716954;44995.531544943107;
186;11598;44995.531544943107;45238.745229169261;
187;11138;45238.745229169261;45481.958913395414;
188;10740;45481.958913395414;45725.172597621568;
189;10350;45725.172597621568;45968.386281847721;
190;10235;45968.386281847721;46211.599966073874;
191;9829;46211.599966073874;46454.813650300028;
192;9656;46454.813650300028;46698.027334526181;
193;9106;46698.027334526181;46941.241018752335;
194;9114;46941.241018752335;47184.454702978488;
195;9049;47184.454702978488;47427.668387204641;
196;8636;47427.668387204641;47670.882071430795;
197;8629;47670.882071430795;47914.095755656948;
198;8250;47914.095755656948;48157.309439883102;
199;8311;48157.309439883102;48400.523124109255;
200;7862;48400.523124109255;48643.736808335409;
201;7562;48643.736808335409;48886.950492561562;
202;7563;48886.950492561562;49130.164176787715;
203;7551;49130.164176787715;49373.377861013869;
204;7296;49373.377861013869;49616.591545240022;
205;7256;49616.591545240022;49859.805229466176;
206;7069;49859.805229466176;50103.018913692329;
207;6895;50103.018913692329;50346.232597918482;
208;6761;50346.232597918482;50589.446282144636;
209;6611;50589.446282144636;50832.659966370789;
210;6287;50832.659966370789;51075.873650596943;
211;5825;51075.873650596943;51319.087334823096;
212;5300;51319.087334823096;51562.301019049250;
213;5175;51562.301019049250;51805.514703275403;
214;4960;51805.514703275403;52048.728387501556;
215;4610;52048.728387501556;52291.942071727710;
216;4043;52291.942071727710;52535.155755953863;
217;3818;52535.155755953863;52778.369440180017;
218;3413;52778.369440180017;53021.583124406170;
219;3214;53021.583124406170;53264.796808632324;
220;2665;53264.796808632324;53508.010492858477;
221;2513;53508.010492858477;53751.224177084630;
222;2235;53751.224177084630;53994.437861310784;
223;1859;53994.437861310784;54237.651545536937;
224;1781;54237.651545536937;54480.865229763091;
225;1497;54480.865229763091;54724.078913989244;
226;1414;54724.078913989244;54967.292598215397;
227;1361;54967.292598215397;55210.506282441551;
228;1097;55210.506282441551;55453.719966667704;
229;1065;55453.719966667704;55696.933650893858;
230;1122;55696.933650893858;55940.147335120011;
231;1033;55940.147335120011;56183.361019346165;
232;1040;56183.361019346165;56426.574703572318;
233;980;56426.574703572318;56669.788387798471;
234;877;56669.788387798471;56913.002072024625;
235;872;56913.002072024625;57156.215756250778;
236;808;57156.215756250778;57399.429440476932;
237;881;57399.429440476932;57642.643124703085;
238;860;57642.643124703085;57885.856808929238;
239;659;57885.856808929238;58129.070493155392;
240;595;58129.070493155392;58372.284177381545;
241;603;58372.284177381545;58615.497861607699;
242;487;58615.497861607699;58858.711545833852;
243;387;58858.711545833852;59101.925230060006;
244;350;59101.925230060006;59345.138914286159;
245;296;59345.138914286159;59588.352598512312;
246;254;59588.352598512312;59831.566282738466;
247;229;59831.566282738466;60074.779966964619;
248;181;60074.779966964619;60317.993651190773;
249;141;60317.993651190773;60561.207335416926;
250;129;60561.207335416926;60804.421019643079;
251;92;60804.421019643079;61047.634703869233;
252;73;61047.634703869233;61290.848388095386;
253;53;61290.848388095386;61534.062072321540;
254;44;61534.062072321540;61777.275756547693;
255;25;61777.275756547693;62020.489440773847;
256;10;62020.489440773847;62263.703125000000;
